Date,Prev Price (UGX),Last Traded Price (UGX),% Change
13-11-20,30000.00,30000.00,0
14-11-20,30000.00,30000.00,0
15-11-20,30000.00,30000.00,0
16-11-20,30000.00,30000.00,0
17-11-20,30000.00,30000.00,0
18-11-20,30000.00,30000.00,0
19-11-20,30000.00,30000.00,0
20-11-20,30000.00,30000.00,0
21-11-20,30000.00,30000.00,0
22-11-20,30000.00,30000.00,0
23-11-20,30000.00,30000.00,0
24-11-20,30000.00,30000.00,0
25-11-20,30000.00,30000.00,0
26-11-20,30000.00,30000.00,0
27-11-20,30000.00,30000.00,0
28-11-20,30000.00,30000.00,0
29-11-20,30000.00,30000.00,0
30-11-20,30000.00,30000.00,0
01-12-20,30000.00,30000.00,0
