Date,Prev Price (UGX),Last Traded Price (UGX),% Change
13-11-20,599.22,595.82,0.57
14-11-20,595.82,596.82,0.17
15-11-20,595.82,595.82,0
16-11-20,596.82,575.11,3.64
17-11-20,575.11,573.16,0.34
18-11-20,573.16,573.16,0
19-11-20,547.81,545.06,0.5
20-11-20,545.06,545.06,0
21-11-20,545.06,545.06,0
22-11-20,545.06,545.06,0
23-11-20,545.06,541.76,0.99
24-11-20,541.76,605.63,1.11
25-11-20,605.63,605.63,0
26-11-20,605.63,601.37,0.7
27-11-20,601.37,601.37,0
28-11-20,601.37,598.26,0.52
29-11-20,598.26,598.26,0
30-11-20,598.26,571.37,4.49
