Date,Prev Price (UGX),Last Traded Price (UGX),% Change
13-11-20,103.00,105.00,1.94
14-11-20,105.00,105.00,0.00
15-11-20,105.00,105.00,0.00
16-11-20,105.00,105.00,0.00
17-11-20,105.00,105.00,0.00
18-11-20,105.00,105.00,0.00
19-11-20,105.00,105.00,0.00
20-11-20,105.00,105.00,0.00
21-11-20,109.00,105.00,3.67
22-11-20,109.00,105.00,3.67
23-11-20,101.00,105.00,3.96
24-11-20,105.00,105.00,0.00
25-11-20,105.00,105.00,0.00
26-11-20,105.00,105.00,0.00
27-11-20,105.00,105.00,0.00
28-11-20,105.00,105.00,0.00
29-11-20,105.00,105.00,0.00
30-11-20,105.00,105.00,0.00
01-12-20,105.00,105.00,0.00
02-12-20,105.00,105.00,0.00
03-12-20,105.00,95.27,0.91
04-12-20,95.27,95.88,0.64
05-12-20,95.88,95.88,0.00
06-12-20,95.88,95.88,0.00
07-12-20,95.88,95.88,0.00
08-12-20,95.88,102.40,1.06
09-12-20,102.40,100.00,2.34
