Date,Prev Price (UGX),Last Traded Price (UGX),% Change
13-11-20,5287.71,5566.10,5.26
14-11-20,5566.10,5425.60,2.52
15-11-20,5566.10,5566.10,0.00
16-11-20,5425.60,5378.97,0.86
17-11-20,5378.97,5385.04,0.11
18-11-20,5385.04,5385.04,0.00
19-11-20,5435.68,5425.11,0.19
20-11-20,5425.11,5425.11,0.00
21-11-20,5425.11,5425.11,0.00
22-11-20,5425.11,5425.11,0.00
23-11-20,5249.85,5248.30,0.03
24-11-20,5229.70,5229.70,0.00
25-11-20,5229.70,5221.95,0.15
26-11-20,5229.70,5221.95,0.15
27-11-20,5221.95,5209.55,0.24
28-11-20,5221.95,5221.95,0.00
29-11-20,5221.95,5209.55,0.00
30-11-20,5209.55,5167.54,0.81
01-12-20,5167.54,5167.54,0.00
02-12-20,5167.54,5167.54,0.00
03-12-20,5167.54,5156.85,0.00
04-12-20,5156.85,5142.90,0.27
05-12-20,5142.90,5142.90,0.00
06-12-20,5142.90,5126.87,0.00
07-12-20,5142.90,5126.87,0.31
08-12-20,5126.87,5091.24,0.99
09-12-20,5091.24,5045.33,0.90
