Date,Prev Price (UGX),Last Traded Price (UGX),% Change,
13-11-20,1188.25,1220.50,2.71,
14-11-20,1220.50,1220.76,0.02,
15-11-20,1220.50,1220.50,0.00,
16-11-20,1220.76,1244.94,1.98,
17-11-20,1244.94,1242.70,0.18,
18-11-20,1242.70,1242.70,0.00,
19-11-20,1239.78,1232.75,0.57,
20-11-20,1232.75,1232.75,0.00,
21-11-20,1232.75,1232.75,0.00,
22-11-20,1232.75,1232.75,0.00,
23-11-20,1217.63,1196.95,1.70,
24-11-20,1196.95,1202.83,0.00,
25-11-20,1202.83,1202.83,0.00,
26-11-20,1202.83,1201.05,0.15,
27-11-20,1201.05,1194.84,0.52,
28-11-20,1201.05,1201.05,0.00,
29-11-20,1201.05,1194.84,0.00,
30-11-20,1194.84,1156.18,3.24,
01-12-20,1156.18,1156.18,0.00,
02-12-20,5167.54,5167.54,0.00,
03-12-20,5167.54,5156.85,0.00,
04-12-20,1174.43,1174.57,0.01,
05-12-20,1174.57,1174.57,0.00,
06-12-20,1174.57,1174.57,0.00,
07-12-20,1174.57,1161.21,1.14,
08-12-20,1161.21,1148.84,0.98,
09-12-20,1148.84,1146.14,0.24,
,,,,
