Date,Prev Price (UGX),Last Traded Price (UGX),% Change
13-11-20,9149.53,9047.68,1.11
14-11-20,9047.68,9155.70,1.19
15-11-20,9047.68,9047.68,0.00
16-11-20,9155.70,9134.10,0.24
17-11-20,9134.10,9096.24,0.41
18-11-20,9096.24,9096.24,0.00
19-11-20,9158.40,9169.20,0.12
20-11-20,9169.20,9169.20,0.00
21-11-20,9169.20,9169.20,0.00
22-11-20,9169.20,9169.20,0.00
23-11-20,9169.20,9006.76,0.03
24-11-20,9006.76,9109.80,0.00
25-11-20,9109.80,9109.80,0.00
26-11-20,9109.80,9096.30,0.15
27-11-20,9096.30,9074.70,0.24
28-11-20,9096.30,9096.30,0.00
29-11-20,9096.30,9074.70,0.00
30-11-20,9074.70,9410.80,3.70
01-12-20,9410.80,9410.80,0.00
02-12-20,9410.80,8982.90,0.00
03-12-20,8982.90,8982.90,0.00
04-12-20,8982.90,8958.60,0.27
05-12-20,8958.60,8958.60,0.00
06-12-20,8958.60,8958.60,0.00
07-12-20,8958.60,8945.10,0.15
08-12-20,8945.10,8926.20,0.99
09-12-20,8926.20,9248.40,3.61
,,,
