Date,Prev Price (UGX),Last Traded Price (UGX),% Change,
13-11-20,130.03,130.03,0.00,
14-11-20,130.03,129.88,0.12,
15-11-20,130.03,130.03,0.00,
16-11-20,129.88,129.57,0.24,
17-11-20,129.57,129.51,0.05,
18-11-20,129.51,129.51,0.00,
19-11-20,129.91,130.07,0.12,
20-11-20,130.07,130.07,0.00,
21-11-20,130.07,130.07,0.00,
22-11-20,130.07,130.07,0.00,
23-11-20,129.72,129.68,0.03,
24-11-20,129.68,129.22,0.00,
25-11-20,129.22,129.22,0.00,
26-11-20,129.22,129.03,0.15,
27-11-20,129.03,128.73,0.23,
28-11-20,129.03,129.03,0.00,
29-11-20,129.03,128.73,0.00,
30-11-20,128.73,128.73,0.00,
01-12-20,128.73,128.73,0.00,
02-12-20,128.73,127.42,0.00,
03-12-20,127.42,127.42,0.00,
04-12-20,127.42,127.08,0.27,
05-12-20,127.08,127.08,0.00,
06-12-20,127.08,127.08,0.00,
07-12-20,127.08,126.89,0.15,
08-12-20,126.89,126.62,0.99,
09-12-20,126.62,126.50,0.09,
,,,,
