Date,Prev Price (UGX),Last Traded Price (UGX),% Change
13-11-20,1256.15,1286.71,2.43
14-11-20,1286.71,1268.23,1.44
15-11-20,1286.71,1286.71,0.00
16-11-20,1268.23,1268.63,0.03
17-11-20,1268.63,1269.75,0.09
18-11-20,1269.75,1269.75,0.00
19-11-20,1272.00,1249.73,1.75
20-11-20,1249.73,1249.73,0.00
21-11-20,1249.73,1249.73,0.00
22-11-20,1249.73,1249.73,0.00
23-11-20,1217.63,1225.73,0.67
24-11-20,1225.73,1255.13,0.00
25-11-20,1255.13,1255.13,0.00
26-11-20,1255.13,1266.74,0.93
27-11-20,1266.74,1270.46,0.29
28-11-20,1266.74,1266.74,0.00
29-11-20,1266.74,1270.46,0.00
30-11-20,1270.46,1248.61,1.72
01-12-20,1248.61,1248.61,0.00
02-12-20,1248.61,1248.61,0.00
03-12-20,1248.61,1230.99,0.00
04-12-20,1230.99,1227.66,0.27
05-12-20,1227.66,1227.66,0.00
06-12-20,1227.66,1227.66,0.00
07-12-20,1227.66,1215.87,0.96
08-12-20,1215.87,1219.91,1.10
09-12-20,1219.91,1215.50,0.36
