Date,Prev Price (UGX),Last Traded Price (UGX),% Change
13-11-20,8.96,8.96,0
14-11-20,8.96,8.96,0
15-11-20,8.96,8.96,0
16-11-20,8.96,8.96,0
17-11-20,8.96,8.96,0
18-11-20,8.96,8.96,0
19-11-20,8.96,8.96,0
20-11-20,8.96,8.96,0
21-11-20,8.96,8.96,0
22-11-20,8.96,8.96,0
23-11-20,8.96,8.96,0
24-11-20,8.96,8.96,0
25-11-20,8.96,8.96,0
26-11-20,8.96,8.96,0
27-11-20,8.96,8.96,0
28-11-20,8.96,8.96,0
29-11-20,8.96,8.96,0
30-11-20,8.96,8.96,0
01-12-20,8.96,8.96,0
02-12-20,8.96,8.96,0
03-12-20,8.96,8.96,0
04-12-20,8.96,8.96,0
05-12-20,8.96,8.96,0
06-12-20,8.96,8.96,0
07-12-20,8.96,8.96,0
08-12-20,8.96,8.96,0
09-12-20,8.96,8.96,0
