Date,Prev Price (UGX),Last Traded Price (UGX),% Change
13-11-20,492.28,516.04,4.83
14-11-20,516.04,534.08,3.50
15-11-20,516.04,516.04,0.00
16-11-20,534.08,529.44,0.87
17-11-20,529.44,547.80,3.47
18-11-20,547.80,547.80,0.00
19-11-20,563.07,546.76,2.90
20-11-20,546.76,546.76,0.00
21-11-20,546.76,546.76,0.00
22-11-20,546.76,546.76,0.00
23-11-20,524.99,524.83,0.03
24-11-20,524.83,548.28,0.00
25-11-20,548.28,548.28,0.00
26-11-20,548.28,539.04,1.69
27-11-20,539.04,520.96,3.35
28-11-20,539.04,539.04,0.00
29-11-20,539.04,520.96,0.00
30-11-20,520.96,519.27,0.32
01-12-20,519.27,519.27,0.00
02-12-20,519.27,514.02,0.00
03-12-20,514.02,514.02,0.00
04-12-20,514.02,504.34,1.88
05-12-20,504.34,504.34,0.00
06-12-20,504.34,504.34,0.00
07-12-20,504.34,500.26,0.81
08-12-20,500.26,499.21,0.99
09-12-20,499.21,510.31,2.22
