Date,Prev Price (UGX),Last Traded Price (UGX),% Change
13-11-20,10.19,9.51,6.67
14-11-20,9.51,10.17,6.94
15-11-20,9.51,9.51,0
16-11-20,10.17,10.15,0.2
17-11-20,10.15,10.14,0.1
18-11-20,10.14,10.14,0
19-11-20,10.18,10.53,3.44
20-11-20,10.53,10.53,0
21-11-20,10.53,10.53,0
22-11-20,10.53,10.53,0
23-11-20,9.82,9.82,0
24-11-20,9.82,9.78,0
25-11-20,9.78,9.78,0
26-11-20,9.78,9.77,0.1
27-11-20,9.77,10.08,3.17
28-11-20,9.77,9.77,0
29-11-20,9.77,10.08,0
30-11-20,10.08,9.75,3.27
01-12-20,9.75,9.75,0
02-12-20,9.75,9.75,0
03-12-20,9.75,9.32,0
04-12-20,9.32,9.62,3.22
05-12-20,9.62,9.62,0
06-12-20,9.62,9.62,0
07-12-20,9.62,9.94,3.33
08-12-20,9.94,9.92,0.02
09-12-20,9.92,9.91,0.10
