Date,Prev Price (UGX),Last Traded Price (UGX),% Change
13-11-20,7.96,7.96,0.00
14-11-20,7.96,7.96,0.00
15-11-20,7.96,7.96,0.00
16-11-20,7.96,7.96,0.00
17-11-20,7.96,8.00,0.50
18-11-20,8.00,8.00,0.00
19-11-20,8.00,8.00,0.00
20-11-20,8.00,8.00,0.00
21-11-20,8.00,8.00,0.00
22-11-20,8.00,8.00,0.00
23-11-20,8.00,8.00,0.00
24-11-20,8.00,8.00,0.00
25-11-20,8.00,8.00,0.00
26-11-20,8.00,8.00,0.00
27-11-20,8.00,8.00,0.00
28-11-20,8.00,8.00,0.00
29-11-20,8.00,8.00,0.00
30-11-20,8.00,8.00,0.00
01-12-20,8.00,8.00,0.00
02-12-20,8.00,8.00,0.00
03-12-20,8.00,8.00,0.00
04-12-20,8.00,8.00,0.00
05-12-20,8.00,8.00,0.00
06-12-20,8.00,8.00,0.00
07-12-20,8.00,8.00,0.00
08-12-20,8.00,8.00,0.00
09-12-20,8.00,8.00,0.00
,,,
